31120887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaseID,ResponseId,StartDate,EndDate,DOV_SPLIT_A,DOV_SPLIT_B,BNE1_1,BNE1_2,BNE1_3,BNE1_4,BNE1_5,BNE2_1,BNE2_2,BNE2_3,BNE2_4,BNE3_1,BNE3_2,BNE3_3,BNE4,complete_status,QFLAG,xparty4,xurbanicity,ppage,ppeducat,ppeduc5,ppethm,ppgender,pphhsize,pphouse4,ppinc7,ppmarit5,ppmsacat,ppreg4,pprent,ppemploy,ppstaten,ppt18ov,ppkid017,PPREG9,SSTNO,weight_PID
1,R_7dGKomScuqwyRHj,2/25/2024 12:51:56,2/25/2024 13:01:24, ,SPLIT B,Very familiar, ,Somewhat familiar,Somewhat familiar,"Heard of it, but that’s it",Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone",No,No, ,qualified,1,Independent,Urban,92,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$10,000 to $24,999",Divorced,Metro area,West,Occupied without payment of cash rent,Not working,AZ,1,0,Mountain,70,1.4698398
2,R_30cuvoiLCvTr3Wt,2/24/2024 8:25:11,2/24/2024 8:34:50,SPLIT A, ,Very familiar,Very familiar, ,Somewhat familiar,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I know someone","Yes, I know someone",No,qualified,1,Democrat,Rural,67,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Not working,NY,2,0,Mid-Atlantic,70,0.8288471
3,R_1TTPTDjmzwb8pc5,2/23/2024 20:09:01,2/23/2024 20:23:31, ,SPLIT B,Very familiar, ,Very familiar,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Somewhat oppose,Strongly oppose,"Yes, I have","Yes, I have","Yes, I have",Prefer not to answer,qualified,1,Democrat,Urban,80,Bachelor or higher,Master’s degree or above,"Black or African American, Non-Hispanic",Female,1,One-family house detached from any other house,"$25,000 to $49,999",Widowed,Metro area,Midwest,Owned or being bought by you or someone in,Not working,MI,1,0,East-North Central,70,0.8736425
4,R_7NDFSxUnZq8G6QG,2/23/2024 15:37:24,2/23/2024 15:42:36,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly support,No,No,No, ,qualified,1,Republican,Suburban,59,Bachelor or higher,Master’s degree or above,"White, Non-Hispanic",Female,2,One-family condo or townhouse attached to other units,"$75,000 to $99,999",Divorced,Metro area,South,Rented for cash,Working part-time,GA,2,0,South Atlantic,70,0.7672791
5,R_7oE6cJXKSVtssw1,2/23/2024 15:38:31,2/23/2024 17:23:51,SPLIT A, ,Never heard of this,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Somewhat support,Somewhat oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Independent,Suburban,54,Some college,Some college or Associate degree,"Other, Non-Hispanic",Male,Six or more,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,CA,5,1,Pacific,70,1.3221631
6,R_7wnpUkVttM1tjle,2/24/2024 10:27:52,2/25/2024 12:22:31,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,Never heard of this,Never heard of this,Somewhat oppose,Somewhat support,Somewhat oppose,Strongly oppose,"Yes, I know someone",No,No, ,qualified,1,Republican,Suburban,67,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$25,000 to $49,999",Divorced,Metro area,West,Owned or being bought by you or someone in,Working full-time,CO,2,0,Mountain,70,0.9797708
7,R_6saRCoSEob6tVIM,2/24/2024 23:12:36,2/24/2024 23:19:49,SPLIT A, ,"Heard of it, but that’s it",Very familiar, ,Never heard of this,"Heard of it, but that’s it",Strongly support,Strongly support,Strongly support,Strongly support,"Yes, I know someone",No,No, ,qualified,1,Independent,Suburban,32,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,Six or more,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,GA,5,5,South Atlantic,70,1.2575111
8,R_7viGHeh2fRt3WHT,2/25/2024 12:24:11,2/25/2024 12:31:23,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Somewhat support,Somewhat support,Somewhat oppose,Somewhat oppose,No,No,No, ,qualified,1,Republican,Rural,76,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Non-metro area,West,Owned or being bought by you or someone in,Not working,AK,2,0,Pacific,70,1.088375
9,R_177ZXK0VOIxfDAC,2/25/2024 12:49:19,2/25/2024 12:53:11,SPLIT A, ,"Heard of it, but that’s it",Never heard of this, ,Never heard of this,Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,Yes,Yes,No,No,qualified,1,Independent,Suburban,45,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,4,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working part-time,CA,4,0,Pacific,70,0.9281386
10,R_6db1A8bA2WHHxQ7,2/24/2024 7:36:26,2/24/2024 7:42:54,SPLIT A, ,"Heard of it, but that’s it","Heard of it, but that’s it", ,"Heard of it, but that’s it","Heard of it, but that’s it",Skipped,Skipped,Skipped,Strongly support,Prefer not to answer,Prefer not to answer,Prefer not to answer, ,qualified,1,Republican,Suburban,60,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,1,One-family house detached from any other house,"$25,000 to $49,999",Never married,Metro area,South,Owned or being bought by you or someone in,Working full-time,MD,1,0,South Atlantic,70,0.6476417
11,R_1sXY4H3W8mVx4kR,2/25/2024 9:54:42,2/25/2024 9:59:05, ,SPLIT B,Never heard of this, ,Never heard of this,Never heard of this,Never heard of this,Somewhat support,Somewhat oppose,Somewhat support,Somewhat oppose,Yes,Yes,Yes,No,qualified,1,Republican,Suburban,45,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,IL,2,1,East-North Central,70,0.504644
12,R_6pbDcBSiEZq6Yfv,2/24/2024 10:52:58,2/24/2024 11:03:33, ,SPLIT B,Never heard of this, ,"Heard of it, but that’s it","Heard of it, but that’s it","Heard of it, but that’s it",Somewhat support,Strongly support,Somewhat oppose,Somewhat oppose,"Yes, I know someone",Prefer not to answer,No, ,qualified,1,Republican,Rural,85,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,PA,2,0,Mid-Atlantic,70,1.1444428
13,R_64JbqnVMGgBUdqj,2/23/2024 19:46:55,2/23/2024 19:54:22,SPLIT A, ,Never heard of this,Somewhat familiar, ,Somewhat familiar,Never heard of this,Somewhat oppose,Strongly support,Somewhat support,Strongly support,"Yes, I have",No,No, ,qualified,1,Independent,Rural,64,HS,High school graduate (high school diploma or the equivalent GED),"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,West,Owned or being bought by you or someone in,Working full-time,AZ,2,0,Mountain,70,1.6981975
14,R_1ctiU7fkzMQ1C5e,2/23/2024 19:43:32,2/23/2024 19:53:48, ,SPLIT B,"Heard of it, but that’s it", ,"Heard of it, but that’s it",Never heard of this,Never heard of this,Somewhat support,Somewhat support,Somewhat support,Somewhat oppose,Yes,Yes,No,No,qualified,1,Independent,Rural,75,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Non-metro area,Northeast,Owned or being bought by you or someone in,Not working,NY,2,0,Mid-Atlantic,70,1.5449203
15,R_3EKJ036OaoyZiys,2/24/2024 5:45:53,2/24/2024 5:50:26, ,SPLIT B,Very familiar, ,Somewhat familiar,Never heard of this,Very familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,No,No,No, ,qualified,1,Independent,Urban,46,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,AL,1,0,East-South Central,70,1.2122604
16,R_5szwfEL8FLXN6sX,2/24/2024 1:32:08,2/24/2024 1:41:00, ,SPLIT B,Somewhat familiar, ,Never heard of this,Never heard of this,"Heard of it, but that’s it",Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly support,No,No,No, ,qualified,1,Republican,Suburban,55,Some college,Some college or Associate degree,"White, Non-Hispanic",Female,1,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Midwest,Owned or being bought by you or someone in,Working full-time,MI,1,0,East-North Central,70,0.6571534
17,R_7eVDSsUTpBT7BFr,2/24/2024 19:32:53,2/25/2024 13:08:53,SPLIT A, ,Never heard of this,Somewhat familiar, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I know someone","Yes, I have","Yes, I know someone",No,qualified,1,Democrat,Urban,51,Bachelor or higher,Bachelor’s degree,"White, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Never married,Metro area,West,Rented for cash,Working full-time,CA,2,0,Pacific,70,0.644614
18,R_6DTJR4KJ3HYfBYZ,2/25/2024 11:10:06,2/25/2024 11:16:40,SPLIT A, ,Never heard of this,Never heard of this, ,Never heard of this,Never heard of this,Skipped,Strongly support,Somewhat oppose,Strongly support,Yes,Yes,Yes,No,qualified,1,Independent,Rural,59,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,3,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working full-time,NH,3,0,New England,70,0.9231664
19,R_5OOsP1BMWIs234N,2/25/2024 12:57:38,2/25/2024 13:06:23,SPLIT A, ,Never heard of this,Never heard of this, ,"Heard of it, but that’s it",Never heard of this,Strongly oppose,Somewhat support,Strongly oppose,Strongly support,Yes,Yes,No,No,qualified,1,Something else,Suburban,66,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$100,000 to $149,999",Now married,Metro area,South,Owned or being bought by you or someone in,Working full-time,SC,2,0,South Atlantic,70,0.6711177
20,R_3QazEJiow4L7T6z,2/23/2024 18:16:57,2/23/2024 18:22:29,SPLIT A, ,Very familiar,Somewhat familiar, ,"Heard of it, but that’s it",Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Somewhat support,Yes,Yes,No,No,qualified,1,Independent,Suburban,69,Some college,Some college or Associate degree,"White, Non-Hispanic",Male,2,One-family house detached from any other house,"$75,000 to $99,999",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Working part-time,NY,2,0,Mid-Atlantic,70,1.2728567
21,R_6XmtN910N3FrsKR,2/23/2024 20:08:32,2/23/2024 20:13:33, ,SPLIT B,Somewhat familiar, ,Never heard of this,"Heard of it, but that’s it",Never heard of this,Somewhat oppose,Somewhat oppose,Somewhat oppose,Strongly oppose,"Yes, I have","Yes, I have","Yes, I have",No,qualified,1,Independent,Suburban,48,Bachelor or higher,Master’s degree or above,"Other, Non-Hispanic",Female,5,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,West,Owned or being bought by you or someone in,Not working,CA,3,2,Pacific,70,1.7823077
22,R_7ABk3Mp9jhW4BKF,2/24/2024 7:13:38,2/24/2024 7:27:20, ,SPLIT B,Very familiar, ,Somewhat familiar,Somewhat familiar,Somewhat familiar,Strongly oppose,Strongly oppose,Strongly oppose,Strongly oppose,"Yes, I have","Yes, I have","Yes, I have",No,qualified,1,Democrat,Suburban,75,Some college,Some college or Associate degree,"Black or African American, Non-Hispanic",Female,2,One-family house detached from any other house,"$150,000 or more",Now married,Metro area,Northeast,Owned or being bought by you or someone in,Not working,NJ,2,0,Mid-Atlantic,70,1.2716565
